Match Number,Round Number,Date,Location,Home Team,Away Team,Result
201,23,22/02/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Antalyaspor,
202,23,22/02/2026 16:00,Gaziantep Stadium,Gaziantep,Trabzonspor,
203,23,22/02/2026 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Samsunspor,
204,23,22/02/2026 16:00,Alanya Oba Stadium,Alanyaspor,Istanbul Basaksehir,
205,23,22/02/2026 16:00,Besiktas Stadyumu,Besiktas,Göztepe,
206,23,22/02/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,
207,23,22/02/2026 16:00,Rize City Stadium,Çaykur Rizespor,Kocaelispor,
208,24,01/03/2026 16:00,Gürsel Aksel Stadium,Göztepe,Eyüpspor,
209,24,01/03/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Konyaspor,
210,24,01/03/2026 16:00,Kocaeli Stadium,Kocaelispor,Besiktas,
211,24,01/03/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Alanyaspor,
212,24,01/03/2026 16:00,Papara Park,Trabzonspor,Fatih Karagümrük,
213,24,01/03/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Gaziantep,
214,24,01/03/2026 16:00,Antalya Stadium,Antalyaspor,Fenerbahçe,
